slno,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,label,event_date,rainfall_eligible,rainfall_mm,rainfall_raw,rainfall_status
23590,MIZ/AZL/2024/762,Mizoram,Aizawl,,,23.10100556,93.19393611,Debris,Slide,2 July 2024,1,2024-07-02,True,22.6,226.0,ok
23591,MIZ/AZL/2024/763,Mizoram,Aizawl,,,23.10074722,93.18785278,Debris,Complex,2 July 2024,1,2024-07-02,True,22.6,226.0,ok
23592,MIZ/AZL/2024/764,Mizoram,Aizawl,,,23.09954722,93.18600278,Debris,Complex,2 July 2024,1,2024-07-02,True,22.5,225.0,ok
23595,MIZ/AZL/2024/767,Mizoram,Aizawl,,,23.0983,93.17597222,Debris,Slide,2 July 2024,1,2024-07-02,True,22.5,225.0,ok
23596,MIZ/AZL/2024/768,Mizoram,Aizawl,,,23.110975,93.21260278,Debris,Slide,28 May 2024,1,2024-05-28,True,58.5,585.0,ok
23597,MIZ/AZL/2024/769,Mizoram,Aizawl,,,23.25986389,93.16155278,Debris,Slide,28 October 2024,1,2024-10-28,True,0.0,0.0,ok
23598,MIZ/AZL/2024/770,Mizoram,Aizawl,,,23.25828611,93.15288333,Debris,Slide,28 November 2024,1,2024-11-28,True,0.6,6.0,ok
23599,MIZ/AZL/2024/771,Mizoram,Aizawl,,,23.26126111,93.15070556,Debris,Slide,28 November 2024,1,2024-11-28,True,0.6,6.0,ok
23600,MIZ/AZL/2024/772,Mizoram,Aizawl,,,23.25951944,93.15917222,Debris,Complex,28 September 2024,1,2024-09-28,True,0.0,0.0,ok
23601,MIZ/AZL/2024/773,Mizoram,Aizawl,,,23.27598056,93.14351667,Debris,Slide,2 July 2024,1,2024-07-02,True,22.0,220.0,ok
23602,MIZ/AZL/2024/774,Mizoram,Aizawl,,,23.27663889,93.14375,Rock,Slide,2 July 2024,1,2024-07-02,True,22.0,220.0,ok
23603,MIZ/AZL/2024/775,Mizoram,Aizawl,,,23.281075,93.144075,Debris,Slide,2 July 2024,1,2024-07-02,True,22.0,220.0,ok
23604,MIZ/AZL/2024/776,Mizoram,Aizawl,,,23.32829167,93.12184167,Debris,Slide,28 September 2024,1,2024-09-28,True,0.0,0.0,ok
23605,MIZ/AZL/2024/777,Mizoram,Aizawl,,,23.33529167,93.11214167,Debris,Slide,2 July 2024,1,2024-07-02,True,33.6,336.0,ok
23606,MIZ/KOL/2024/778,Mizoram,Kolasib,,,23.41421944,93.10569167,Debris,Slide,13 August 2024,1,2024-08-13,True,9.6,96.0,ok
23608,MIZ/KOL/2024/780,Mizoram,Kolasib,,,23.50882222,93.09170278,Earth,Slide,2 July 2024,1,2024-07-02,True,29.2,292.0,ok
23609,MIZ/KOL/2024/781,Mizoram,Kolasib,,,23.54130278,93.10256944,Earth,Slide,12 September 2024,1,2024-09-12,True,6.2,62.0,ok
23610,MIZ/KOL/2024/782,Mizoram,Kolasib,,,23.54600556,93.09247222,Earth,Slide,12 September 2024,1,2024-09-12,True,3.7,37.0,ok
23611,MIZ/KOL/2024/783,Mizoram,Kolasib,,,23.54286944,93.08539722,Earth,Slide,12 September 2024,1,2024-09-12,True,3.7,37.0,ok
23612,MIZ/KOL/2024/784,Mizoram,Kolasib,,,23.56332778,93.10553333,Earth,Slide,22 October 2024,1,2024-10-22,True,2.4,24.0,ok
23613,MIZ/KOL/2024/785,Mizoram,Kolasib,,,23.56785,93.10472222,Debris,Slide,12 September 2024,1,2024-09-12,True,6.2,62.0,ok
23614,MIZ/KOL/2024/786,Mizoram,Kolasib,,,23.56413333,93.11378889,Earth,Slide,12 September 2024,1,2024-09-12,True,6.2,62.0,ok
23615,MIZ/KOL/2024/787,Mizoram,Kolasib,,,23.56233889,93.11890833,Debris,Slide,12 September 2024,1,2024-09-12,True,6.2,62.0,ok
23617,MIZ/KOL/2024/789,Mizoram,Kolasib,,,23.56238611,93.12376667,Earth,Slide,12 September 2024,1,2024-09-12,True,6.2,62.0,ok
23618,MIZ/KOL/2024/790,Mizoram,Kolasib,,,23.56404167,93.10752222,Earth,Slide,12 September 2024,1,2024-09-12,True,6.2,62.0,ok
23619,MIZ/KOL/2024/791,Mizoram,Kolasib,,,23.56145278,93.10908889,Debris,Slide,12 September 2024,1,2024-09-12,True,6.2,62.0,ok
23620,MIZ/KOL/2024/792,Mizoram,Kolasib,,,23.55881111,93.10900556,Earth,Slide,12 September 2024,1,2024-09-12,True,6.2,62.0,ok
23622,MIZ/KOL/2024/794,Mizoram,Kolasib,,,23.5356,93.10656944,Debris,Slide,13 September 2024,1,2024-09-13,True,11.9,119.0,ok
23623,MIZ/AZL/2024/795,Mizoram,Aizawl,,,23.34297778,93.057775,Debris,Slide,13 September 2024,1,2024-09-13,True,9.5,95.0,ok
23624,MIZ/AZL/2024/796,Mizoram,Aizawl,,,23.35406111,93.04156111,Debris,Slide,28 September 2024,1,2024-09-28,True,0.0,0.0,ok
23625,MIZ/AZL/2024/797,Mizoram,Aizawl,,,23.35958611,93.04477222,Debris,Slide,28 September 2024,1,2024-09-28,True,0.0,0.0,ok
23626,MIZ/KOL/2024/798,Mizoram,Kolasib,,,23.36556111,93.05125278,Rock,Fall,9 July 2024,1,2024-07-09,True,6.8,68.0,ok
23627,MIZ/KOL/2024/799,Mizoram,Kolasib,,,23.36966389,93.04609444,Debris,Slide,9 July 2024,1,2024-07-09,True,6.8,68.0,ok
23629,MIZ/KOL/2024/801,Mizoram,Kolasib,,,23.03821667,93.12529444,Rock,Slide,17 September 2024,1,2024-09-17,True,0.0,0.0,ok
23630,MIZ/KOL/2024/802,Mizoram,Kolasib,,,23.54294167,93.23821667,Debris,Slide,24 September 2024,1,2024-09-24,True,1.7,17.0,ok
23632,MIZ/KOL/2024/804,Mizoram,Kolasib,,,24.55205833,93.25569167,Rock,Fall,9 July 2024,1,2024-07-09,True,5.8,58.0,ok
