event_date,latitude,longitude,state,district
2020-05-26,25.43505556,92.19836111,Meghalaya,West Jaintia Hills
2020-05-26,25.44741667,92.20138889,Meghalaya,West Jaintia Hills
2020-05-26,25.45075,92.19452778,Meghalaya,West Jaintia Hills
2020-05-26,25.45351667,92.18784722,Meghalaya,West Jaintia Hills
2022-06-17,25.21022222,90.63220278,Meghalaya,South Garo Hills
2023-04-13,25.365263,91.878497,Meghalaya,East Khasi Hills
2023-08-10,25.41955556,92.16194444,Meghalaya,West Jaintia Hills
2024-06-28,25.55256111,91.61870278,Meghalaya,Eastern-West Khasi Hill
2024-05-28,25.39295833,91.55163333,Meghalaya,South West Khasi Hills
2024-06-15,25.37129167,91.48003056,Meghalaya,South West Khasi Hills
2024-05-28,25.40288611,91.43424167,Meghalaya,South West Khasi Hills
2024-07-02,25.531739,91.296177,Meghalaya,West Khasi Hills
2024-07-02,25.540056,91.314142,Meghalaya,West Khasi Hills
2024-07-02,25.641242,91.894137,Meghalaya,East Khasi Hills
2024-07-02,25.65057222,91.89351389,Meghalaya,East Khasi Hills
2024-07-02,25.64887222,91.89692778,Meghalaya,East Khasi Hills
2025-05-30,25.619397,91.61704,Meghalaya,South West Khasi Hills
2025-05-30,25.65443889,91.62390833,Meghalaya,Eastern-West Khasi Hill
2025-05-30,25.65443889,91.63345833,Meghalaya,Eastern-West Khasi Hill
2025-05-30,25.65977222,91.63440556,Meghalaya,Eastern-West Khasi Hill
2024-07-01,25.65308889,91.89803889,Meghalaya,East Khasi Hills
2024-07-01,25.65341111,91.89819444,Meghalaya,East Khasi Hills
2025-05-30,25.66315,91.90180278,Meghalaya,Ri-Bhoi
2025-05-30,25.67032222,91.90487222,Meghalaya,Ri-Bhoi
2024-06-30,25.67517222,91.8983,Meghalaya,Ri-Bhoi
2025-05-31,25.42315556,91.86329167,Meghalaya,East Khasi Hills
2025-05-30,25.30127778,91.92198889,Meghalaya,East Khasi Hills
2024-06-30,25.67546111,91.89726944,Meghalaya,Ri-Bhoi
2025-05-30,25.67761389,91.89865833,Meghalaya,Ri-Bhoi
2025-07-02,25.49551944,91.49585278,Meghalaya,Eastern-West Khasi Hill
2025-05-30,25.28247222,91.36413333,Meghalaya,South West Khasi Hills
2025-05-30,25.28090556,91.36584722,Meghalaya,South West Khasi Hills
2024-06-30,25.68255833,91.90111389,Meghalaya,Ri-Bhoi
2024-06-30,25.68591944,91.90256667,Meghalaya,Ri-Bhoi
2025-05-30,25.71165556,91.89512778,Meghalaya,Ri-Bhoi
2025-05-30,25.75297778,91.88535278,Meghalaya,Ri-Bhoi
2024-06-14,25.79744444,91.87408611,Meghalaya,Ri-Bhoi
2024-07-14,25.80725833,91.87509444,Meghalaya,Ri-Bhoi
2024-07-02,25.62269444,91.16914444,Meghalaya,West Khasi Hills
2024-07-02,25.61276111,91.17375278,Meghalaya,West Khasi Hills
2024-07-02,25.66156667,91.13485278,Meghalaya,West Khasi Hills
2025-05-29,25.69150833,91.64160833,Meghalaya,Eastern-West Khasi Hill
2025-05-30,25.69517778,91.64123611,Meghalaya,Eastern-West Khasi Hill
2025-06-25,25.69688611,91.64176667,Meghalaya,Eastern-West Khasi Hill
2024-10-08,25.70087778,91.642902,Meghalaya,Eastern-West Khasi Hill
2024-08-06,25.69866667,91.64517222,Meghalaya,Eastern-West Khasi Hill
2024-08-06,25.69683611,91.64485556,Meghalaya,Eastern-West Khasi Hill
2025-05-30,25.69523333,91.64426944,Meghalaya,Eastern-West Khasi Hill
2025-05-30,25.69463611,91.64577778,Meghalaya,Eastern-West Khasi Hill
2025-05-28,25.68698889,91.64812222,Meghalaya,Eastern-West Khasi Hill
2025-05-28,25.68690556,91.64915278,Meghalaya,Eastern-West Khasi Hill
2025-06-25,25.688833,91.653639,Meghalaya,Eastern-West Khasi Hill
2024-05-28,25.68798889,91.65838889,Meghalaya,Eastern-West Khasi Hill
2024-05-28,25.68805,91.66653,Meghalaya,Eastern-West Khasi Hill
2025-06-11,25.68822222,91.66746111,Meghalaya,Eastern-West Khasi Hill
2025-06-11,25.69007,91.67085,Meghalaya,Eastern-West Khasi Hill
2025-06-11,25.733262,91.675754,Meghalaya,Eastern-West Khasi Hill
2024-05-29,25.762051,91.658959,Meghalaya,Eastern-West Khasi Hill
2024-05-29,25.770935,91.656497,Meghalaya,Eastern-West Khasi Hill
2024-05-29,25.791616,91.658242,Meghalaya,Eastern-West Khasi Hill
2024-08-28,25.803984,91.659801,Meghalaya,Eastern-West Khasi Hill
2025-05-31,25.700668,91.596815,Meghalaya,Eastern-West Khasi Hill
2025-05-31,25.739454,91.572107,Meghalaya,Eastern-West Khasi Hill
2026-07-13,25.567423,89.979711,Meghalaya,South West Garo Hills
2025-08-19,25.566518,91.914509,Meghalaya,East Khasi Hills
2007-09-08,23.751694,92.731528,Mizoram,Aizawl
2024-05-28,23.73888889,92.69638889,Mizoram,Aizawl
2024-05-28,23.73947222,92.69666667,Mizoram,Aizawl
2024-05-28,23.74027778,92.69722222,Mizoram,Aizawl
2024-05-28,23.74066667,92.69336111,Mizoram,Aizawl
2024-05-28,23.7385748,92.6941941,Mizoram,Aizawl
2024-05-28,23.74472222,92.69277778,Mizoram,Aizawl
2024-05-28,23.74116667,92.69455556,Mizoram,Aizawl
2024-05-28,23.7375,92.69444444,Mizoram,Aizawl
2024-05-28,23.73386111,92.69491667,Mizoram,Aizawl
2024-05-28,23.72669444,92.69519444,Mizoram,Aizawl
2024-05-28,23.73361111,92.69388889,Mizoram,Aizawl
2024-05-28,23.73472222,92.695,Mizoram,Aizawl
2024-05-28,23.73305556,92.69944444,Mizoram,Aizawl
2024-05-28,23.74972222,92.69833333,Mizoram,Aizawl
2024-05-28,23.73111111,92.70222222,Mizoram,Aizawl
2024-05-28,23.73111111,92.70388889,Mizoram,Aizawl
2024-05-28,23.73333333,92.70527778,Mizoram,Aizawl
2024-05-28,23.73583333,92.69777778,Mizoram,Aizawl
2024-05-28,23.73132778,92.70821944,Mizoram,Aizawl
