slno,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,label,event_date,rainfall_eligible,rainfall_mm,rainfall_raw,rainfall_status,elevation_m,slope_deg,aspect_deg
670,ASM/DH/83G4/ PD/2016/25,Assam,Dima Hasao,Mahadev Tila slide-2,"Haflong town, Dima Hasao (NC Hills)",25.15561111,93.02222222,Debris,Slide,17 May 2016,1,2016-05-17,True,116.3,1163.0,ok,617.0,17.93667776662697,221.4710507195244
671,ASM/DH/83G4/PD/2016/26,Assam,Dima Hasao,Haflong-Jatinga road section slide-01,"Haflong town, Dima Hasao (NC Hills)",25.15658333,93.01961111,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,624.0,22.80235356397969,0.0
672,ASM/DH/83G4/ PD/2016/29,Assam,Dima Hasao (N.C. Hills),Haflong-Jatinga road section slide-04,"Haflong town,",25.15713889,93.01719444,Debris,Slide,27 May 2016,1,2016-05-27,True,3.6,36.0,ok,651.0,34.00534015339872,349.31816992413
673,ASM/DH/83G4/ PD/2016/42,Assam,Dima Hasao (N.C. Hills),96 km Migrendisa slide,"96 km, Migrendisa – Haflong rail section, near Diyung bridge.",25.164,93.04019444,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,450.0,17.506517277103256,13.09425000281732
683,ASM/DH/83G4/PD/2016/43,Assam,Dima Hasao (N.C. Hills),New Haflong R.S. slide - (2),New Haflong Railway Station,25.14872222,93.03191667,Debris,Creep,17 May 2016,1,2016-05-17,True,116.3,1163.0,ok,451.0,29.97321754452676,38.276435864478
684,ASM/DH/83G4/PD/2016/44,Assam,Dima Hasao (N.C. Hills),New Haflong R. S slide(3),"New Haflong Railway Station, Dima Hasao (NC Hills)",25.14525,93.02916667,Debris,Slide,17 May 2016,1,2016-05-17,True,116.3,1163.0,ok,542.0,29.13955886646751,83.33779388315354
685,ASM/DH/83G4/ PD/2016/24,Assam,Dima Hasao,Mahadev Tilla-1,"Mahadev Tilla, Haflong,Dima Hasao (NC Hills)",25.15572222,93.02277778,Earth,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,613.0,26.6226679449848,180.0
686,ASM/DH/83G4/ PD/2016 /35,Assam,Dima Hasao,Haflong – Gunjung road section soil creep-6,Haflong – Gunjung road section,25.23230556,93.03333333,Earth,Creep,17 May 2016,1,2016-05-17,True,81.4,814.0,ok,554.0,20.129412443477364,282.7429038553116
694,ASM/DH/83G4/ PD/2016/07,Assam,Dima Hasao (N.C. Hills),Haflong – Gunjung slide-1,Near Gunjung village road section,25.20552778,93.02013889,Debris,Slide,22 May 2016,1,2016-05-22,True,0.2,2.0,ok,346.0,17.21509250417657,332.52060731026194
695,ASM/DH/83G4/ PD/2016/31,Assam,Dima Hasao,Haflong – Gunjung road section slide- 02,Haflong – Gunjung road section,25.24597222,93.02827778,Debris,Slide,22 May 2016,1,2016-05-22,True,0.2,2.0,ok,604.0,20.557592327289576,287.56621417897225
700,AS/K(M)/76N16/2024/01,Assam,Kamrup (Metro),Rudra Nagar Slide,"Rudra Nagar, Near Rajohuwa Namghar, Chandmari",26.19052,91.77499,Earth,Slide,24 May 2024,1,2024-05-24,True,0.0,0.0,ok,109.0,10.486950762732516,330.8731099495716
701,ASM/DH/83G4/ PD/2016/30,Assam,Dima Hasao,Gadhi Rojai Slide,"Haflong town, Dima Hasao (NC Hills)",25.15933333,93.017,Earth,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,685.0,7.138222640252902,154.6628155344973
705,ASM/DH/83G4/ PD/2016/28,Assam,Dima Hasao,Haflong-Jatinga road section slide-03,"Haflong town, Dima Hasao (NC Hills)",25.15736111,93.01608333,Rock,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,641.0,27.336082242973617,339.78297995842814
706,ASM/DH/83G4/ PD/2016/33,Assam,Dima Hasao,Haflong – Gunjung road section slide- 04,Haflong – Gunjung road section,25.23880556,93.03219444,Rock,Slide,22 May 2016,1,2016-05-22,True,0.2,2.0,ok,569.0,17.427559021713506,294.3357762118202
707,ASM/DH/83G4/ PD/2016/40,Assam,Dima Hasao (N.C. Hills),Lungkok slide (Haflong – Gunjung road 11),"-Haflong – Gunjung road section, Lungkok village, Lower Haflong",25.19669444,93.01858333,Rock,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,453.0,23.598226652834537,128.993772223926
708,ASM/DH/83G4/ PD/2016/41,Assam,Dima Hasao (N.C. Hills),Lower Haflong slide (Haflong – Gunjung road-12),"Haflong – Gunjung road section, Lower Haflong",25.18844444,93.01966667,Rock,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,522.0,28.065101109021,123.08574348693264
709,ASM/DH/83G4/ PD /2016/03,Assam,Dima Hasao (N.C. Hills),Heuwangberam subsidence zone-1,"NH 54, Heuwangberam,",25.20738889,93.12277778,Debris,"Initially started as a subsidence, now movement of slope mass has already been initiated.",20 August 2014,1,2014-08-20,True,2.7,27.0,ok,683.0,15.804640153558848,304.8370894973005
710,ASM/DH/83G4/ PD/2016/10,Assam,Dima Hasao,N.D Raji.-1,"N.D Raji village, Haflong, Dima Hasao (NC Hills)",25.17597222,93.02016667,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,590.0,28.49235651399749,107.33162216245309
711,ASM/DH/83G4/ PD/2016/11,Assam,Dima Hasao,N.D Raji (Hamar)-2,"N.D Raji (Hamar)village, Haflong, Dima Hasao (NC Hills)",25.17505556,93.02041667,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,574.0,25.75272720869977,90.0
712,ASM/DH/83G4/ PD/2016/12,Assam,Dima Hasao,"Huonveng, N.D Raji-3","N.D Raji (Hmar)village, Haflong, Dima Hasao (NC Hills)",25.17188889,93.02061111,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,575.0,45.95699277207127,111.08056516855004
713,ASM/DH/83G4/ PD/2016/13,Assam,Dima Hasao,Songpiang-1,"Songpiang village, Haflong, Dima Hasao (NC Hills)",25.16563889,93.02544444,Debris,Fall,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,516.0,13.62725831030783,117.83246950543528
714,ASM/DH/83G4/ PD/2016/14,Assam,Dima Hasao,Songpiang-2,"Songpiang village, Haflong, Dima Hasao (NC Hills)",25.16344444,93.02316667,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,557.0,20.11945486984009,77.25012360674029
715,ASM/DH/83G4/ PD/2016/15,Assam,Dima Hasao,Boro Haflong-1,"Near Boro Haflong village, Haflong, Dima Hasao (NC Hills)",25.15069444,93.02583333,Debris,slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,672.0,16.56974691341318,115.76984075015042
716,ASM/DH/83G4/ PD/2016/16,Assam,Dima Hasao,"Vidya Mandir, Boro Haflong-2","Boro Haflong, Haflong, Dima Hasao (NC Hills)",25.14586111,93.02419444,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,704.0,18.74651482736755,90.0
717,ASM/DH/83G4/ PD/2016/17,Assam,Dima Hasao,"Near and below Assam rifles camp, Boro Haflong-3.","Boro Haflong, Haflong, Dima Hasao (NC Hills)",25.14041667,93.02038889,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,732.0,28.00372150945085,34.81924460906291
718,ASM/DH/83G4/ PD/2016/18,Assam,Dima Hasao,Jatinga-Haflong Road section-1.,"Jatinga-Haflong Road section, Haflong, Dima Hasao (NC Hills)",25.13961111,93.01955556,Debris,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,741.0,20.11601679349404,77.24771459983062
